#lan,distance,concept1,concept2
17,8.376506805419922,summit,tip
17,8.369916915893555,shade,soul
17,8.305415153503418,guard,herd
17,8.296923637390137,armpit,crow
17,7.927152156829834,lazy,sloth
17,7.8366265296936035,south,midday
17,7.77416467666626,oar,spade
17,7.667506217956543,read,calculate
17,7.623744487762451,thunder,bolt
17,7.6086039543151855,defend,rescue
17,7.556401252746582,sink,choke
17,7.3526716232299805,sun,god
17,7.2536940574646,feather,wool
17,7.233251571655273,wing,arm
17,7.099210739135742,jump,dance
17,6.9671244621276855,drip,flow
17,6.91240930557251,ant,termite
17,6.751400470733643,fast,sharp
17,6.746161937713623,rug,blanket
17,6.723666667938232,ground,country
17,10.743805885314941,neck,betelnut
16,9.848824501037598,hair,hatch
16,8.631657600402832,money,iron
16,8.180335998535156,do,repair
16,8.037880897521973,write,painting
16,7.827151775360107,take,tooth
16,7.802855491638184,mouth,door
16,7.779655456542969,beak,lip
16,7.620934009552002,cup,dish
16,7.415473937988281,paddle,shovel
16,7.391899108886719,high,loud
16,7.388174057006836,dew,fog
16,7.384212493896484,move,mix
16,7.302988529205322,resemble,match
16,7.275934219360352,earth,field
16,7.1570305824279785,faithful,certain
16,7.034519672393799,stranger,guest
16,6.993300914764404,cultivate,dig
16,6.940648078918457,accuse,convict
16,6.836012363433838,loud,hard
16,6.676648139953613,weak,lazy
16,10.419478416442871,plantain,hair
16,10.419478416442871,hair,plantain
16,10.214822769165039,fur,plantain
15,9.84951400756836,latch,doorpost
15,9.8002290725708,sickle,wood
15,9.661109924316406,lung,thirsty
15,8.775790214538574,dog,jaguar
15,8.69243335723877,chicken,springtime
15,8.639485359191895,wool,hair
15,8.594771385192871,fever,fire
15,8.51517105102539,leaf,write
15,7.981844425201416,vine,rope
15,7.867109775543213,guard,preserve
15,7.657983303070068,study,announce
15,7.400584697723389,knead,rub
15,7.359847545623779,drink,smoke
15,7.342959880828857,tie,knit
15,7.222141742706299,new,heart
15,7.12560510635376,forest,grass
15,7.085099220275879,work,affair
15,6.890104293823242,near,short
15,6.8894829750061035,spirit,breath
15,6.845664978027344,armour,weapons
15,6.793127536773682,big,fat
14,8.849776268005371,book,transport
14,8.56472110748291,prepare,repair
14,8.49792766571045,cave,bitter
14,8.435635566711426,club,tree
14,8.429018020629883,bird,tooth
14,8.295977592468262,clay,land
14,8.252853393554688,flow,walk
14,8.229364395141602,yam,belly
14,8.048243522644043,cut,slaughter
14,7.84423828125,stone,my
14,7.731047630310059,moon,noon
14,7.647838115692139,deep,early
14,7.511840343475342,rule,command
