#lan,distance,concept1,concept2
7,5.483975887298584,you,that
7,5.318843364715576,all,whole
7,5.249522686004639,take,choose
7,5.231098175048828,last,late
7,5.223013401031494,if,yes
7,5.124227523803711,see,understand
7,5.06419563293457,again,still
7,4.963886737823486,see,we
7,4.9588398933410645,brother,friend
7,4.851334095001221,again,in
7,4.762922286987305,some,one
7,4.478675365447998,this,there
7,4.451146602630615,midday,afternoon
7,4.265545845031738,few,one
7,3.7607014179229736,because,what
7,3.653766393661499,grandson,grandfather
6,6.30530309677124,tell,convey
6,6.266665935516357,pupil,teacher
6,6.255028247833252,stand,last
6,6.1920881271362305,deaf,mute
6,6.167545795440674,my,their
6,6.153768062591553,change,answer
6,6.1383585929870605,grief,pity
6,6.106409072875977,mistake,blame
6,6.1061506271362305,mason,carpenter
6,6.048349380493164,remain,become
6,6.047036647796631,your,their
6,6.034062385559082,teach,tell
6,6.031807899475098,thing,word
6,6.023865699768066,outside,back
6,6.001578330993652,carry,pull
6,5.955572128295898,here,at
6,5.934598445892334,big,more
6,5.914127349853516,leave,flee
6,5.893285274505615,father-in-law,stepfather
6,5.765169620513916,mind,intention
6,5.73696231842041,say,i
6,5.733250141143799,carry,give
6,5.725175380706787,ready,good
6,5.721255302429199,other,next
6,5.716006278991699,mind,meaning
6,5.685706615447998,penis,testicles
6,5.676027297973633,new,now
6,5.675404071807861,speak,answer
6,5.57248067855835,behind,outside
6,5.5363945960998535,give,yes
6,5.532537937164307,small,some
6,5.527646541595459,parents,relatives
6,5.525934219360352,springtime,autumn
6,5.4623541831970215,aunt,mother-in-law
6,5.446891784667969,see,seem
6,5.44539737701416,in,with
6,5.343705177307129,two,with
6,5.326193332672119,believe,admit
6,5.256193161010742,more,often
6,5.2299699783325195,move,leave
6,5.161261081695557,immediately,suddenly
6,5.095765590667725,many,not
6,4.998486042022705,mother-in-law,son-in-law
6,4.897335529327393,few,two
6,4.821077346801758,stepmother,mother-in-law
6,4.821077346801758,mother-in-law,stepmother
6,4.769601345062256,tell,talk
6,4.718719005584717,place,time
6,4.684542179107666,and,where
6,4.652615547180176,give,say
6,4.651986122131348,niece,daughter-in-law
6,4.4125494956970215,more,enough
6,4.3741068840026855,father-in-law,mother-in-law
