#lan,distance,concept1,concept2
26,6.417926788330078,accuse,condemn
26,5.321825981140137,believe,think
25,9.268074035644531,cease,do
25,8.959946632385254,nipple,udder
25,8.569110870361328,evil,severe
25,8.422027587890625,manner,custom
25,8.392717361450195,cultivate,plant
25,7.570262432098389,bridge,ladder
25,7.564816474914551,root,vein
25,7.016820907592773,gather,join
25,6.895234107971191,frost,cold
25,6.099871635437012,edge,end
24,8.722309112548828,ditch,furrow
24,8.670808792114258,plain,pasture
24,8.567145347595215,louse,pregnant
24,7.919951438903809,faeces,dung
24,7.819717884063721,pursue,dispel
24,7.662669658660889,admit,obey
24,7.544347286224365,pinch,press
24,7.341187477111816,swelling,itch
24,7.333882808685303,say,announce
24,7.234559535980225,cook,fat
24,7.164710521697998,twist,bend
24,7.01501989364624,share,separate
24,6.918965816497803,sink,dive
24,6.810090065002441,dust,fog
24,6.799228668212891,word,book
24,6.742817401885986,measure,count
24,6.674015998840332,daughter-in-law,son-in-law
24,6.4573235511779785,cheap,easy
24,6.413416862487793,cousin,sibling
24,6.355866432189941,high,long
24,5.562160491943359,soul,heart
24,5.022976398468018,wrong,fault
23,7.8538713455200195,sail,row
23,7.3199334144592285,floor,world
23,6.955130100250244,spit,vomit
23,6.674015998840332,son-in-law,daughter-in-law
23,6.220874786376953,talk,chat
23,5.945779323577881,granddaughter,nephew
23,5.869134902954102,turn,change
23,5.609221935272217,hear,feel
23,4.847526550292969,see,meet
23,11.160662651062012,pour,irrigate
22,8.873135566711426,statue,idol
22,8.204854011535645,people,clan
22,7.664185047149658,slow,silence
22,7.602109909057617,small,shallow
22,7.454784393310547,weigh,stretch
22,7.379818439483643,i,eat
22,7.180825233459473,mainland,land
22,6.931637763977051,fish,five
22,5.60666561126709,try,check
22,5.5155110359191895,guess,seem
22,5.20708703994751,cooked,cook
22,4.9489827156066895,my,our
21,8.956574440002441,burning,ripen
21,8.224772453308105,darkness,hit
21,7.886275291442871,husband,male
21,7.570597171783447,message,news
21,7.482565879821777,ask,pray
21,7.307540416717529,flow,float
21,7.227869987487793,split,tear
21,6.914668560028076,village,country
21,6.887979030609131,twist,squeeze
21,6.7717437744140625,keep,guard
21,6.674015998840332,daughter-in-law,son-in-law
21,6.59076452255249,good,healthy
21,6.295624256134033,sway,swing
21,6.017467975616455,straight,smooth
21,5.87286901473999,flat,straight
21,5.687072277069092,daughter,woman
21,4.69667387008667,many,enough
21,3.4162232875823975,cousin,sister
20,8.42741584777832,wing,fin
20,8.34768295288086,road,manner
20,7.917857646942139,paddle,spade
