#languages that colexify these two concepts,concept1,concept2
67,SEED,GRAIN
67,OLDER BROTHER,OLDER SISTER
67,JAW,CHIN
67,FIRE,FIREWOOD
67,FEATHER,HAIR
67,BE ALIVE,LIFE
66,WEATHER,AIR
66,TREE,STICK
66,GATHER,PILE UP
66,ASK (INQUIRE),ASK (REQUEST)
65,TAKE,SEIZE
65,REMAIN,"DWELL (LIVE, RESIDE)"
65,CHILD (DESCENDANT),CHILD (YOUNG HUMAN)
64,TOWN,VILLAGE
64,THOU,YOU
64,SWIM,SAIL
64,STUDY,TEACH
64,MURDER,KILL
64,MUD,CLAY
64,MANY,CROWD
64,DAUGHTER,YOUNG WOMAN
64,COOKED,RIPE
63,RAW,UNRIPE
63,PRECIPICE,STONE OR ROCK
63,I,MY
63,GHOST,DEMON
63,FUR,HAIR (HEAD)
63,COUNT,READ
63,BEARD,CHIN
62,PAPER,BOOK
62,LEARN,READ
62,IN,AT
62,CATTLE,COW
62,BOOT,SHOE
62,BODY,FLESH
61,VULTURE,EAGLE
61,TAKE,BUY
61,PULL,DRAG
61,MIRROR,GLASS
61,HE,SHE
61,FINISH,END (OF TIME)
61,FAULT,MISTAKE
60,SEPARATE,DIVIDE
60,FIRE,TREE
60,EDGE,SHORE
60,DRAW MILK,SQUEEZE
60,BIG,WIDE
59,WOMAN,FEMALE (OF ANIMAL)
59,WEIGH,MEASURE
59,TIE,FASTEN
59,SEIZE,TRAP (CATCH)
59,LAUGH,SMILE
59,DIRTY,BLACK
59,DIG,HOLLOW OUT
59,ACCUSE,BLAME
58,YOU,YOUR (PLURAL)
58,ROUND,CIRCLE
58,HAIR (HEAD),PUBIC HAIR
58,GRANDSON,NEPHEW
58,FOWL,BIRD
58,EARTH (SOIL),FLOOR
58,CARVE,CUT
58,BEAM,RAFTER
57,SHOOT,KILL
57,SALT,SEA
57,PLANT (SOMETHING),SOW SEEDS
57,KNOW (SOMETHING),LEARN
57,HEAD,CHIEFTAIN
57,HAND,FIVE
57,CLAW,FINGERNAIL OR TOENAIL
56,MEAT,FLESH OR MEAT
56,CARRY,BRING
56,BLOOD,RED
55,VOICE,WORD
55,VEGETABLES,FRUIT
55,TIE,TIE UP (TETHER)
55,SALTY,BITTER
55,PEOPLE,PERSON
55,IRON,STEEL
55,HUT,HOUSE
55,HIDE (ONESELF),HIDE (CONCEAL)
55,EARTH (SOIL),CLAY
55,"DWELL (LIVE, RESIDE)",BE ALIVE
55,ADZE,AXE
54,WORSHIP,PRAY
54,SPEAK,TALK
54,RAM,SHEEP
54,PEEL,PULL OFF (SKIN)
54,NIGHT,EVENING
54,MELT,THAW (DEW)
54,GATHER,PICK UP
54,FALL,DROP (SOMETHING)
54,CROSS,IDOL
54,CARRY,TAKE
53,WIND,AIR
53,WIDOWER,WIDOW
53,WEAVE,SEW
53,TAKE,CATCH
53,SOW (FEMALE PIG),PIG
53,PLANT (VEGETATION),GRASS
53,GRASS,HAY
53,BRAID,BRAID (VERB) OR WEAVE (BASKET)
53,BOWL,CUP
53,BEAUTIFUL,GOOD-LOOKING
52,THEY,THEIR
52,SPOIL (BECOME SPOILED),ROT
52,SKIRT,GRASS-SKIRT
52,SAY,TELL
52,LEG,THIGH
52,HOLD,KEEP
52,HEAR,UNDERSTAND
52,GRANDDAUGHTER,NIECE
52,DISAPPEAR,MISPLACE
52,DIFFICULT,HEAVY
52,CHILD (DESCENDANT),DESCENDANTS
52,BAD,EVIL
51,TIME,WEATHER
51,NEW,YOUNG
51,CALL,CALL BY NAME
51,BURN (SOMETHING),LIGHT (IGNITE)
51,BAD,UGLY
50,SMELL (STINK),SMELL (PERCEIVE)
50,PUT,SET (HEAVENLY BODIES)
50,LEND,BORROW
50,LAGOON,LAKE
50,HOLD,GRASP
50,EDGE,SIDE
50,EARLY,MORNING
50,COOKED RICE,RICE PLANT
50,COOK (SOMETHING),BOIL (OF LIQUID)
50,BRANCH OR TWIG,FORKED BRANCH
50,BLOW (OF WIND),BLOW (WITH MOUTH)
49,TRUE,CORRECT (RIGHT)
49,THROW,SHOOT
49,TAKE,HOLD
49,MONEY,COIN
49,LEATHER,BARK
49,HOOK,FISHHOOK
49,GARDEN-HOUSE,HOUSE
49,FOLLOW,PURSUE
49,COUNT,CALCULATE
49,COOKED RICE,RICE
49,COLLAR,NECK
49,CARRY,CARRY ON SHOULDER
49,BUTTER,OIL (ORGANIC SUBSTANCE)
49,BREAST,NIPPLE
49,BOWL,DISH
48,THREAD,ROPE
48,SPEAK,TELL
48,LIGHT (RADIATION),BRIGHT
48,HEN,CHICKEN
48,FLAT,SMOOTH
48,FEAR (FRIGHT),DANGER
48,DYE,PAINTING
48,COUNT,THINK (BELIEVE)
48,CHIME (ACTION),RING (MAKE SOUND)
47,STUPID,MAD
47,SPEECH,WORD
47,SLAVE,SERVANT
47,MAN,MALE (OF ANIMAL)
47,HURRY,BOLT (MOVE IN HASTE)
47,HOW,WHAT
47,FLOOR,LAND
47,FLOAT,SAIL
47,ELBOW,KNEE
47,DARK,NIGHT
47,CEASE,FINISH
47,BOAT,SHIP
47,ALL,MANY
46,STUDY,READ
46,OUR,US (OBLIQUE CASE OF WE)
46,MY,ME
46,LEG,FOOT OR LEG
46,KISS,SUCK
46,GAP (DISTANCE),DISTANCE
46,CLEAR,LIGHT (COLOR)
46,CAVE,HOLE
46,BOAR,PIG
45,TASTE (SOMETHING),TRY
45,STEPSON,STEPDAUGHTER
45,SEED,EGG
45,ROAD,PATH OR ROAD
45,RIGHT,CORRECT (RIGHT)
45,NO,NOT
45,KETTLE,POT
45,FIELD,GARDEN
45,CARRY,CARRY IN HAND
45,BREAK (DESTROY OR GET DESTROYED),SPLIT
45,BITTER,SOUR
44,SALTY,BRACKISH
44,POUCH,SACK
44,OLDER BROTHER,BROTHER
44,NOW,TODAY
44,MAN,MALE
44,LOOK,WATCH
44,HOLD,TRAP (CATCH)
44,HEART,SPIRIT
44,FLEE,ESCAPE
44,FIND,MEET
44,CROOKED,BEND
44,BITE,EAT
44,BEAM,RIDGEPOLE
43,SHUT,COVER
43,RIPE,RED
43,OLD MAN,OLD WOMAN
43,HIT,KILL
43,CLAW,PAW
43,BRANCH,TWIG
42,YOUNG,YOUNG MAN
42,TOMORROW,MORNING
42,SWEET POTATO,POTATO
42,SPEAK,SPEECH
42,SMALL,NARROW
42,POUR,CAST
42,LIE (MISLEAD),DECEIT
42,HOW,WHY
42,FLAME,FIRE
42,EARTH (SOIL),SAND
42,CALM,SILENCE
42,BREAK (CLEAVE),BREAK (DESTROY OR GET DESTROYED)
41,WHICH,WHO
41,THAT,THERE
41,PREGNANT,WOMB
41,MOUNTAIN,STONE
41,LOW,BELOW OR UNDER
41,LAKE,SEA
41,GRANDMOTHER,GRANDCHILD
41,FALL,TUMBLE (FALL DOWN)
41,DIRTY,GARBAGE
41,CHICKEN,BIRD
41,BIG,MANY
41,AFTERWARDS,THEN
40,STRIKE OR BEAT,POUND
40,SOLDIER,ARMY
40,SIT,SIT DOWN
40,SHAKE,JOG (SOMETHING)
40,ROOF,THATCH
40,OLDER SISTER,SISTER
40,MOUTH,TOOTH
40,LOVE,WANT
40,LEATHER,SKIN (HUMAN)
40,GO,DRIVE
40,DIRTY,DIRT
40,DARKNESS,DARK
