distance,concept1,concept2,#lan,relation
7.158570766448975,cook,boil,50,RelatedTo
7.15904426574707,lock,latch,19,RelatedTo
7.163523197174072,rise,east,4,RelatedTo
7.165138244628906,spoon,oar,2,RelatedTo
7.1668477058410645,cattle,bull,11,RelatedTo
7.167053699493408,thought,memory,5,RelatedTo
7.170782089233398,knife,cleaver,3,RelatedTo
7.173568248748779,earth,garden,2,RelatedTo
7.174999237060547,shell,scale,7,EtymologicallyRelatedTo
7.175993919372559,bowl,pot,9,RelatedTo
7.176937103271484,wine,alcohol,23,AtLocation,RelatedTo
7.176937103271484,wine,alcohol,23,AtLocation,RelatedTo
7.177404880523682,give,surrender,9,RelatedTo
7.1784892082214355,mule,horse,6,Antonym,RelatedTo
7.1784892082214355,mule,horse,6,Antonym,RelatedTo
7.182465553283691,tobacco,smoke,16,RelatedTo
7.182465553283691,tobacco,smoke,30,RelatedTo
7.183995246887207,day,weather,4,RelatedTo
7.183995246887207,day,weather,18,RelatedTo
7.196272373199463,plant,wood,8,RelatedTo
7.197115898132324,clay,brick,3,MadeOf
7.199029445648193,gap,distance,46,RelatedTo
7.199482440948486,nail,peg,6,RelatedTo
7.200150489807129,eat,chew,8,RelatedTo
7.2015814781188965,pain,wound,20,RelatedTo
7.2033209800720215,round,egg,3,HasProperty,RelatedTo
7.2033209800720215,round,egg,3,HasProperty,RelatedTo
7.210360527038574,top,roof,5,RelatedTo
7.214544296264648,sew,needle,8,RelatedTo,UsedFor
7.214544296264648,sew,needle,8,RelatedTo,UsedFor
7.2159013748168945,ear,earlobe,19,PartOf
7.217743873596191,seed,grain,67,RelatedTo
7.2206830978393555,put,plant,5,RelatedTo
7.22180700302124,mouth,chin,10,RelatedTo
7.230931758880615,mountain,rock,2,AtLocation,RelatedTo
7.230931758880615,mountain,rock,2,AtLocation,RelatedTo
7.231778144836426,burn,hot,7,RelatedTo
7.231778144836426,hot,burn,2,RelatedTo
7.234362602233887,insect,grasshopper,2,RelatedTo
7.235048770904541,fish,bone,3,AtLocation
7.236051559448242,house,nest,3,RelatedTo
7.238749027252197,marry,wedding,3,RelatedTo
7.240233421325684,feather,bird,2,RelatedTo
7.240436553955078,hot,heat,22,RelatedTo
7.241700649261475,float,swim,86,RelatedTo
7.242390155792236,hot,drink,3,RelatedTo
7.243744850158691,have,owe,2,Antonym
7.24448823928833,stick,twig,2,RelatedTo
7.247786045074463,wind,fire,4,RelatedTo
7.248011112213135,plant,root,2,PartOf,RelatedTo
7.248011112213135,plant,root,2,PartOf,RelatedTo
7.251692295074463,springtime,summer,25,RelatedTo
7.252129077911377,string,thread,3,RelatedTo
7.254632472991943,soup,water,11,AtLocation
7.255665302276611,face,neck,2,RelatedTo
7.257862091064453,red,lobster,3,RelatedTo
7.258780002593994,sea,ocean,101,DistinctFrom,RelatedTo
7.258780002593994,sea,ocean,101,DistinctFrom,RelatedTo
7.260849952697754,weigh,heavy,5,RelatedTo
7.261056900024414,shell,body,3,RelatedTo
7.26113224029541,bite,dog,2,CapableOf,RelatedTo
7.26113224029541,bite,dog,2,CapableOf,RelatedTo
7.2661590576171875,mouth,drink,5,RelatedTo
7.269926071166992,dust,smoke,2,RelatedTo
7.269926071166992,dust,smoke,23,RelatedTo
7.272456645965576,small,egg,5,RelatedTo
7.2766499519348145,north,up,6,RelatedTo
7.278264045715332,bad,die,2,HasProperty
7.282853126525879,sew,cut,2,Antonym
7.282989025115967,spit,water,2,AtLocation
7.283410549163818,glass,cup,3,RelatedTo
7.288272380828857,laugh,play,2,HasSubevent
7.290812969207764,floor,land,47,RelatedTo
7.290839672088623,ask,order,2,RelatedTo
7.294151782989502,cup,plate,11,Antonym,DistinctFrom,RelatedTo
7.294151782989502,cup,plate,11,Antonym,DistinctFrom,RelatedTo
7.294151782989502,cup,plate,11,Antonym,DistinctFrom,RelatedTo
7.295179843902588,letter,character,4,RelatedTo
7.296765327453613,near,narrow,2,EtymologicallyRelatedTo
7.297441005706787,ghost,god,2,RelatedTo
7.300273418426514,mouth,bone,3,RelatedTo
7.302711486816406,daughter,stepdaughter,4,DerivedFrom
7.304412841796875,bite,itch,3,RelatedTo
7.3097686767578125,come,mother,2,RelatedTo
7.312536716461182,sea,shore,3,RelatedTo
7.324341773986816,go,enter,8,Antonym,RelatedTo
7.324341773986816,go,enter,8,Antonym,RelatedTo
7.332696914672852,come,arrive,84,RelatedTo
7.332813739776611,fire,candle,4,RelatedTo
7.334503173828125,bait,worm,5,RelatedTo
7.33500862121582,tree,root,7,AtLocation,RelatedTo
7.33500862121582,tree,root,7,AtLocation,RelatedTo
7.337652206420898,earth,floor,58,RelatedTo
7.338430404663086,fire,smoke,2,Antonym,CreatedBy,DistinctFrom,HasSubevent,RelatedTo
7.338430404663086,fire,smoke,2,Antonym,CreatedBy,DistinctFrom,HasSubevent,RelatedTo
7.338430404663086,fire,smoke,2,Antonym,CreatedBy,DistinctFrom,HasSubevent,RelatedTo
7.338430404663086,fire,smoke,2,Antonym,CreatedBy,DistinctFrom,HasSubevent,RelatedTo
7.338430404663086,fire,smoke,2,Antonym,CreatedBy,DistinctFrom,HasSubevent,RelatedTo
7.340023994445801,separate,cut,4,RelatedTo
7.345297813415527,cloud,rain,3,RelatedTo
7.345373153686523,flour,dough,28,RelatedTo
7.350128650665283,egg,eye,2,RelatedTo
7.352531433105469,hole,nostril,3,IsA
7.35551118850708,leaf,paper,12,RelatedTo
7.35604190826416,cut,tear,11,RelatedTo
7.356070041656494,money,gold,2,RelatedTo
7.356301784515381,sick,disease,19,RelatedTo
7.36100435256958,bird,sparrow,8,RelatedTo
7.362095355987549,fire,wood,9,Antonym,AtLocation,RelatedTo
7.362095355987549,fire,wood,9,Antonym,AtLocation,RelatedTo
7.362095355987549,fire,wood,9,Antonym,AtLocation,RelatedTo
7.364084243774414,nut,seed,10,RelatedTo
7.3662519454956055,rabbit,hare,18,RelatedTo
7.3670196533203125,bowl,spoon,2,AtLocation
7.367256164550781,pine,cone,2,RelatedTo
7.367793083190918,skin,hide,3,RelatedTo
7.370853424072266,furrow,plough,3,RelatedTo
7.373791217803955,tie,connect,32,RelatedTo
7.373791217803955,wound,blister,3,RelatedTo
7.3757100105285645,pot,pan,69,Antonym,RelatedTo
7.3757100105285645,pot,pan,69,Antonym,RelatedTo
7.378217697143555,path,street,9,RelatedTo
7.3797430992126465,come,become,5,DerivedFrom
7.380882263183594,finger,fingernail,6,AtLocation,DerivedFrom
7.380882263183594,finger,fingernail,6,AtLocation,DerivedFrom
7.381985187530518,wave,current,2,RelatedTo
7.382678031921387,shore,land,2,RelatedTo
7.384427547454834,sky,weather,20,RelatedTo
7.384941101074219,sky,day,5,RelatedTo
7.384941101074219,sky,day,15,RelatedTo
7.386146068572998,dye,paint,4,RelatedTo
7.386146068572998,dye,paint,77,RelatedTo
7.388237953186035,throw,cast,2,EtymologicallyRelatedTo
7.388699531555176,fever,heat,7,RelatedTo
7.389778137207031,hen,chicken,48,Antonym,DistinctFrom,RelatedTo
7.389778137207031,hen,chicken,48,Antonym,DistinctFrom,RelatedTo
7.389778137207031,hen,chicken,48,Antonym,DistinctFrom,RelatedTo
7.390833377838135,earn,work,2,RelatedTo
7.391213893890381,cut,shear,4,RelatedTo
7.397167682647705,chimney,fireplace,14,HasA,RelatedTo
7.397167682647705,chimney,fireplace,14,HasA,RelatedTo
7.397226333618164,week,weak,2,EtymologicallyRelatedTo
7.400370121002197,tide,wave,3,RelatedTo
7.40094518661499,have,remain,3,RelatedTo
7.406217098236084,bunch,grape,2,RelatedTo
7.406748294830322,cloth,dress,12,RelatedTo
7.409147262573242,flock,swarm,20,RelatedTo
7.410466194152832,food,vegetables,2,IsA
7.411342144012451,skin,leather,236,RelatedTo
7.418182373046875,corpse,body,27,RelatedTo
7.420117378234863,see,smell,2,DistinctFrom
7.421226978302002,embers,fire,6,RelatedTo
7.428555488586426,circle,wheel,28,RelatedTo
7.431190490722656,smooth,slip,6,RelatedTo
7.433441638946533,warm,heat,5,HasProperty,RelatedTo
7.433441638946533,warm,heat,5,HasProperty,RelatedTo
7.448397636413574,heavy,weight,2,RelatedTo
7.450986385345459,small,seed,2,RelatedTo
7.454153537750244,bark,tree,3,RelatedTo
7.454187870025635,grain,rye,6,RelatedTo
7.4575700759887695,good,egg,3,RelatedTo
7.457589626312256,outside,courtyard,5,HasProperty
7.457591533660889,boy,male,2,RelatedTo
7.457591533660889,male,boy,4,RelatedTo
7.458183288574219,tree,twig,2,RelatedTo
