distance,concept1,concept2,#lan,relation
6.837757110595703,day,weather,4,RelatedTo
6.837757110595703,day,weather,18,RelatedTo
6.837785243988037,hot,red,2,RelatedTo
6.840115070343018,world,peace,9,RelatedTo
6.844951152801514,sow,pig,53,RelatedTo
6.845067024230957,spear,arrow,25,RelatedTo
6.846923828125,sky,day,5,RelatedTo
6.846923828125,sky,day,15,RelatedTo
6.854404926300049,defeat,surrender,3,RelatedTo
6.861420154571533,good,gentle,2,RelatedTo
6.864841461181641,sweet,gentle,2,RelatedTo
6.866525650024414,tree,wood,348,AtLocation,MadeOf,RelatedTo
6.866525650024414,tree,wood,348,AtLocation,MadeOf,RelatedTo
6.866525650024414,tree,wood,348,AtLocation,MadeOf,RelatedTo
6.867387771606445,mind,memory,10,RelatedTo
6.867676258087158,walk,crawl,2,Antonym
6.87700080871582,law,right,4,RelatedTo
6.877229690551758,hole,mouth,5,RelatedTo
6.878653526306152,skin,peel,6,RelatedTo
6.880273818969727,edge,shore,60,RelatedTo
6.882543563842773,knot,noose,3,EtymologicallyRelatedTo,RelatedTo
6.882543563842773,knot,noose,3,EtymologicallyRelatedTo,RelatedTo
6.88273811340332,pain,wound,20,RelatedTo
6.883599758148193,fall,tumble,41,RelatedTo
6.884827136993408,claw,nail,4,RelatedTo
6.885858058929443,death,die,2,RelatedTo
6.885858058929443,die,death,28,EtymologicallyRelatedTo,RelatedTo
6.885858058929443,die,death,28,EtymologicallyRelatedTo,RelatedTo
6.887639999389648,move,flow,3,RelatedTo
6.890691757202148,hole,ditch,10,RelatedTo
6.892465114593506,go,boat,2,RelatedTo
6.893566131591797,table,stool,2,RelatedTo
6.894092082977295,river,ocean,2,RelatedTo
6.899446487426758,round,ball,20,HasProperty,RelatedTo
6.899446487426758,round,ball,20,HasProperty,RelatedTo
6.900048732757568,bad,storm,2,RelatedTo
6.900830268859863,fat,meat,2,HasA
6.904208183288574,edge,border,4,RelatedTo
6.905668258666992,money,price,7,RelatedTo
6.909274578094482,paper,letter,11,MadeOf,RelatedTo
6.909274578094482,paper,letter,11,MadeOf,RelatedTo
6.9095072746276855,hole,well,2,RelatedTo
6.912533760070801,people,child,2,RelatedTo
6.915689468383789,person,body,9,RelatedTo
6.915769100189209,bait,worm,5,RelatedTo
6.917669773101807,hot,summer,2,RelatedTo
6.920129776000977,slave,servant,47,DistinctFrom,RelatedTo
6.920129776000977,slave,servant,47,DistinctFrom,RelatedTo
6.920462608337402,smooth,slip,6,RelatedTo
6.9214091300964355,grain,oat,8,RelatedTo
6.921936511993408,wool,fur,28,RelatedTo
6.923990249633789,tree,fruit,3,AtLocation
6.925349712371826,promise,oath,3,RelatedTo
6.926950931549072,finger,ring,4,AtLocation,RelatedTo,UsedFor
6.926950931549072,finger,ring,4,AtLocation,RelatedTo,UsedFor
6.926950931549072,finger,ring,4,AtLocation,RelatedTo,UsedFor
6.929332256317139,blow,wind,31,RelatedTo
6.935034275054932,breath,air,4,RelatedTo
6.936622619628906,part,room,2,RelatedTo
6.9400715827941895,government,president,3,AtLocation,RelatedTo
6.9400715827941895,government,president,3,AtLocation,RelatedTo
6.941765308380127,fire,heat,2,CreatedBy,LocatedNear,RelatedTo
6.941765308380127,fire,heat,2,CreatedBy,LocatedNear,RelatedTo
6.941765308380127,fire,heat,2,CreatedBy,LocatedNear,RelatedTo
6.942155838012695,embers,fire,6,RelatedTo
6.943211078643799,sun,evening,2,RelatedTo
6.94464635848999,eyelid,eyebrow,8,RelatedTo
6.948307037353516,plant,tree,21,IsA,RelatedTo
6.948307037353516,plant,tree,21,IsA,RelatedTo
6.9531941413879395,thing,animal,6,RelatedTo
6.956305503845215,speak,mouth,2,UsedFor
6.9582295417785645,beak,nose,30,RelatedTo
6.9586687088012695,top,roof,5,RelatedTo
6.95867919921875,bowl,plate,27,Antonym,DistinctFrom,RelatedTo
6.95867919921875,bowl,plate,27,Antonym,DistinctFrom,RelatedTo
6.95867919921875,bowl,plate,27,Antonym,DistinctFrom,RelatedTo
6.959713459014893,bed,blanket,2,RelatedTo
6.961958885192871,float,sail,47,RelatedTo
6.962310791015625,boundary,border,3,RelatedTo
6.96332311630249,flat,plate,3,RelatedTo
6.964200019836426,water,drink,9,RelatedTo
6.969499588012695,side,country,8,RelatedTo
6.9718451499938965,size,amount,4,RelatedTo
6.973387241363525,tool,machine,2,RelatedTo
6.976823329925537,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.976823329925537,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.976823329925537,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.977595329284668,blood,bone,3,DistinctFrom
6.97786283493042,sick,fever,8,RelatedTo
6.9783616065979,stick,twig,2,RelatedTo
6.979771137237549,heavy,weight,2,RelatedTo
6.985288619995117,braid,plait,4,RelatedTo
6.985774517059326,house,camp,5,RelatedTo
6.986059188842773,lightning,bolt,121,RelatedTo
6.986774921417236,clay,brick,3,MadeOf
6.9874420166015625,bite,itch,3,RelatedTo
6.987695217132568,rise,lift,17,RelatedTo
6.9880194664001465,mouth,saliva,3,AtLocation,LocatedNear
6.9880194664001465,mouth,saliva,3,AtLocation,LocatedNear
6.98842191696167,thing,item,37,RelatedTo
6.990006446838379,boy,male,2,RelatedTo
6.990006446838379,male,boy,4,RelatedTo
6.99075984954834,sky,mountain,3,RelatedTo
6.991098880767822,voice,shout,20,RelatedTo
6.991921901702881,grain,bread,2,RelatedTo
6.9925713539123535,tired,fatigue,13,RelatedTo
6.99729061126709,long,snake,2,RelatedTo
6.997818470001221,plant,flower,4,DistinctFrom,RelatedTo
6.997818470001221,plant,flower,4,DistinctFrom,RelatedTo
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998925685882568,i,in,2,EtymologicallyRelatedTo,EtymologicallyRelatedTo,EtymologicallyRelatedTo,Synonym,Synonym,Synonym,Synonym
6.998988151550293,nose,smell,3,RelatedTo
6.999447345733643,paper,newspaper,2,DerivedFrom
7.002828121185303,lake,sea,41,Antonym,DistinctFrom,RelatedTo
7.002828121185303,lake,sea,41,Antonym,DistinctFrom,RelatedTo
7.002828121185303,lake,sea,41,Antonym,DistinctFrom,RelatedTo
7.0035319328308105,son,man,17,RelatedTo
7.006770133972168,earth,sand,42,AtLocation,RelatedTo
7.006770133972168,earth,sand,42,AtLocation,RelatedTo
7.008876323699951,loud,bright,4,RelatedTo
7.010637283325195,stick,post,5,RelatedTo
7.010862827301025,die,kill,28,MotivatedByGoal,RelatedTo
7.010862827301025,die,kill,28,MotivatedByGoal,RelatedTo
7.014703750610352,grain,rice,19,IsA,RelatedTo
7.014703750610352,grain,rice,19,IsA,RelatedTo
7.015789985656738,meat,animal,20,HasA
7.016768455505371,swallow,drink,8,HasFirstSubevent,HasLastSubevent,HasPrerequisite,RelatedTo
7.016768455505371,swallow,drink,8,HasFirstSubevent,HasLastSubevent,HasPrerequisite,RelatedTo
7.016768455505371,swallow,drink,8,HasFirstSubevent,HasLastSubevent,HasPrerequisite,RelatedTo
7.016768455505371,swallow,drink,8,HasFirstSubevent,HasLastSubevent,HasPrerequisite,RelatedTo
7.023301601409912,soul,body,6,Antonym,DistinctFrom,RelatedTo
7.023301601409912,soul,body,6,Antonym,DistinctFrom,RelatedTo
7.023301601409912,soul,body,6,Antonym,DistinctFrom,RelatedTo
7.027516841888428,pregnant,womb,41,RelatedTo
7.02890157699585,head,mother,2,RelatedTo
7.032858371734619,cry,sky,2,RelatedTo
7.035837650299072,house,nest,3,RelatedTo
7.037551403045654,sun,afternoon,2,RelatedTo
7.037768840789795,drip,water,4,AtLocation
7.040316581726074,bowl,saucer,11,RelatedTo
