distance,concept1,concept2,#lan,relation
6.567692279815674,springtime,summer,25,RelatedTo
6.570880889892578,death,die,2,RelatedTo
6.570880889892578,die,death,28,EtymologicallyRelatedTo,RelatedTo
6.570880889892578,die,death,28,EtymologicallyRelatedTo,RelatedTo
6.597747802734375,rob,steal,4,RelatedTo
6.599904537200928,wipe,clean,7,RelatedTo
6.603266716003418,word,letter,18,PartOf
6.604615688323975,shade,dark,2,RelatedTo
6.604670524597168,hot,warm,80,RelatedTo
6.606553554534912,lunch,eat,3,RelatedTo
6.606939792633057,move,shake,8,RelatedTo
6.607901573181152,cut,split,2,RelatedTo
6.607901573181152,cut,split,4,RelatedTo
6.607901573181152,cut,split,22,RelatedTo
6.608866214752197,study,think,4,HasPrerequisite
6.609639644622803,mountain,hill,132,Antonym,DistinctFrom,RelatedTo
6.609639644622803,mountain,hill,132,Antonym,DistinctFrom,RelatedTo
6.609639644622803,mountain,hill,132,Antonym,DistinctFrom,RelatedTo
6.612359523773193,sibling,brother,104,RelatedTo
6.613170146942139,mouse,rat,31,RelatedTo
6.613704681396484,side,line,2,RelatedTo
6.613882064819336,food,meal,124,RelatedTo
6.614041805267334,stove,oven,120,Antonym,AtLocation,RelatedTo
6.614041805267334,stove,oven,120,Antonym,AtLocation,RelatedTo
6.614041805267334,stove,oven,120,Antonym,AtLocation,RelatedTo
6.614455699920654,voice,call,2,RelatedTo
6.618231773376465,dust,dirt,2,RelatedTo
6.618514537811279,separate,divide,60,RelatedTo
6.62984561920166,hut,tent,11,RelatedTo
6.633669376373291,die,kill,28,MotivatedByGoal,RelatedTo
6.633669376373291,die,kill,28,MotivatedByGoal,RelatedTo
6.633879661560059,move,walk,24,HasSubevent,RelatedTo
6.633879661560059,move,walk,24,HasSubevent,RelatedTo
6.633879661560059,walk,move,4,RelatedTo
6.6342973709106445,pay,tax,2,RelatedTo
6.638256549835205,arrow,bow,37,RelatedTo
6.645115852355957,walk,step,11,RelatedTo
6.65195894241333,table,chair,13,Antonym,DistinctFrom,LocatedNear,RelatedTo
6.65195894241333,table,chair,13,Antonym,DistinctFrom,LocatedNear,RelatedTo
6.65195894241333,table,chair,13,Antonym,DistinctFrom,LocatedNear,RelatedTo
6.65195894241333,table,chair,13,Antonym,DistinctFrom,LocatedNear,RelatedTo
6.655980587005615,go,pass,8,DistinctFrom,RelatedTo
6.655980587005615,go,pass,8,DistinctFrom,RelatedTo
6.658261299133301,speech,talk,5,RelatedTo
6.658586025238037,lunch,afternoon,2,Antonym
6.6698384284973145,buy,price,6,RelatedTo
6.6777753829956055,big,head,3,RelatedTo
6.678028583526611,wrist,hand,12,RelatedTo
6.678170204162598,taste,sweet,2,RelatedTo
6.679553985595703,blood,heart,3,HasPrerequisite,RelatedTo
6.679553985595703,blood,heart,3,HasPrerequisite,RelatedTo
6.679775714874268,insect,mosquito,3,RelatedTo
6.68055534362793,food,meat,6,AtLocation,RelatedTo,UsedFor
6.68055534362793,food,meat,6,AtLocation,RelatedTo,UsedFor
6.68055534362793,food,meat,6,AtLocation,RelatedTo,UsedFor
6.68094539642334,wine,beer,14,RelatedTo
6.683053970336914,breakfast,morning,4,RelatedTo
6.684831619262695,tide,wave,3,RelatedTo
6.688678741455078,throw,drop,6,Antonym,DistinctFrom,RelatedTo
6.688678741455078,throw,drop,6,Antonym,DistinctFrom,RelatedTo
6.688678741455078,throw,drop,6,Antonym,DistinctFrom,RelatedTo
6.690795421600342,cold,winter,3,HasProperty,RelatedTo
6.690795421600342,cold,winter,3,HasProperty,RelatedTo
6.690795421600342,cold,winter,5,HasProperty,RelatedTo
6.690795421600342,cold,winter,5,HasProperty,RelatedTo
6.6914448738098145,poor,need,2,RelatedTo
6.691546440124512,move,run,2,RelatedTo
6.697231769561768,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.697231769561768,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.697231769561768,walk,drive,14,Antonym,DistinctFrom,HasFirstSubevent
6.7004618644714355,swear,curse,2,RelatedTo
6.7011027336120605,fish,shark,4,RelatedTo
6.701986789703369,dust,sand,7,RelatedTo
6.706254959106445,sky,cloud,102,Antonym,AtLocation,RelatedTo
6.706254959106445,sky,cloud,102,Antonym,AtLocation,RelatedTo
6.706254959106445,sky,cloud,102,Antonym,AtLocation,RelatedTo
6.706728458404541,part,corner,3,RelatedTo
6.710299968719482,clothes,shirt,33,IsA
6.711123466491699,take,destroy,3,RelatedTo
6.7119951248168945,sea,shore,3,RelatedTo
6.712151527404785,place,town,5,IsA
6.712769031524658,cover,wrap,6,RelatedTo
6.713125228881836,deny,no,6,RelatedTo
6.720189571380615,boot,shoe,62,RelatedTo
6.7243547439575195,walk,crawl,2,Antonym
6.731018543243408,snow,winter,5,RelatedTo
6.731806755065918,who,name,5,RelatedTo
6.7329888343811035,thing,item,37,RelatedTo
6.734592914581299,toe,finger,133,Antonym,DistinctFrom,RelatedTo
6.734592914581299,toe,finger,133,Antonym,DistinctFrom,RelatedTo
6.734592914581299,toe,finger,133,Antonym,DistinctFrom,RelatedTo
6.73759126663208,light,blue,2,RelatedTo
6.7394938468933105,food,vegetables,2,IsA
6.742519855499268,destroy,break,13,RelatedTo
6.747802257537842,coat,dress,3,RelatedTo
6.749903678894043,side,top,2,RelatedTo
6.751255989074707,sharp,cut,3,RelatedTo
6.7535881996154785,valley,river,4,AtLocation,RelatedTo
6.7535881996154785,valley,river,4,AtLocation,RelatedTo
6.756470680236816,take,hide,2,RelatedTo
6.758327007293701,poor,few,2,EtymologicallyRelatedTo
6.760975360870361,cotton,silk,2,Antonym,DistinctFrom,RelatedTo
6.760975360870361,cotton,silk,2,Antonym,DistinctFrom,RelatedTo
6.760975360870361,cotton,silk,2,Antonym,DistinctFrom,RelatedTo
6.76283597946167,precipice,edge,5,RelatedTo
