concept 1,concept 2,language weight,similarity
tie,fasten,59,0.3515921738729565
weigh,measure,59,0.21971600604031877
beam,rafter,58,0.4897689585916612
carve,cut,58,0.2602860034561147
you,your,58,0.5093224222622886
fowl,bird,58,0.4519717746999
earth,floor,58,0.22172159134572259
round,circle,58,0.36962514887308096
grandson,nephew,58,0.5428351518115903
head,chieftain,57,0.11204402571483786
salt,sea,57,0.2634523324806704
know,learn,57,0.45682491275594056
shoot,kill,57,0.42690896601040634
blood,red,56,0.26622189445442185
carry,bring,56,0.33955670964772244
vegetables,fruit,55,0.47570603417972274
people,person,55,0.07321365477274572
voice,word,55,0.2705535839670806
earth,clay,55,0.13188596272123057
iron,steel,55,0.6633525900766415
hut,house,55,0.34949325261317526
ram,sheep,54,0.28526736280884984
fall,drop,54,0.2981971353288583
worship,pray,54,0.21662111133490314
cross,idol,54,0.1463530321091881
melt,thaw,54,0.2932948843426646
speak,talk,54,0.3613063757140048
night,evening,54,0.5944834290155407
carry,take,54,0.2968697710575915
bowl,cup,53,0.5631487512990073
sow,pig,53,0.23072190396867576
wind,air,53,0.2783966774074701
widower,widow,53,0.48105255687569237
take,catch,53,0.1997745012966189
grass,hay,53,0.38349038342314506
weave,sew,53,0.34939000496545475
plant,grass,53,0.2749698252866011
leg,thigh,52,0.5646269311734091
hear,understand,52,0.2917564060365527
bad,evil,52,0.3836975774416753
child,descendants,52,0.08825237736475026
granddaughter,niece,52,0.4598519388358011
say,tell,52,0.48199629159341106
they,their,52,0.34330061299593007
difficult,heavy,52,0.044997120404682234
hold,keep,52,0.3160960177257229
spoil,rot,52,0.14168175452957882
bad,ugly,51,0.28869953254434777
time,weather,51,0.025186675148046157
new,young,51,0.05911819506938929
burn,light,51,0.11829410419079214
edge,side,50,0.375134934809105
lagoon,lake,50,0.4090138674531617
cook,boil,50,0.2883146298603208
lend,borrow,50,0.4109997513267806
hold,grasp,50,0.337141497384599
early,morning,50,0.3830404399384564
put,set,50,0.277693630963717
true,correct,49,0.3314030555244772
butter,oil,49,0.408809999221865
follow,pursue,49,0.44862175393967585
breast,nipple,49,0.2738922242631637
money,coin,49,0.4388670302422514
count,calculate,49,0.17653655162952742
bowl,dish,49,0.5030512047685649
collar,neck,49,0.47926868210225493
take,hold,49,0.2982464977233714
throw,shoot,49,0.1996051962903053
leather,bark,49,0.21652054211670427
hen,chicken,48,0.35743166336819243
count,think,48,0.10413102352221393
dye,painting,48,0.15781319309797992
flat,smooth,48,0.4149124069788904
thread,rope,48,0.3832999021733834
light,bright,48,0.35863363322059405
speak,tell,48,0.4309346684028344
fear,danger,48,0.40720546821033143
chime,ring,48,0.20085267886541436
stupid,mad,47,0.32801659233085945
man,male,47,0.08122505229510155
all,many,47,0.32304740631710066
speech,word,47,0.2491637542554998
slave,servant,47,0.2533719912408564
elbow,knee,47,0.5627765326152557
float,sail,47,0.3294826524879864
dark,night,47,0.3151522785632476
how,what,47,0.4145552837662697
boat,ship,47,0.6217457316743333
kiss,suck,46,0.2287584283316592
study,read,46,0.21288816048796572
cave,hole,46,0.3169640651284858
clear,light,46,0.22140981482918384
gap,distance,46,0.1855930094404659
my,me,46,0.3907422368426164
boar,pig,46,0.2666291369609152
right,correct,45,0.10345801056431066
bitter,sour,45,0.3735237785330211
taste,try,45,0.05501586567238351
no,not,45,0.32302729959214427
field,garden,45,0.2336666803454204
seed,egg,45,0.2745887661587717
kettle,pot,45,0.5102801362905544
look,watch,44,0.3132359930755729
crooked,bend,44,0.2937136005064758
find,meet,44,0.19504598610808682
man,male,44,0.08122505229510155
heart,spirit,44,0.30270087478737295
flee,escape,44,0.3011754232564028
hold,trap,44,0.12197807879862564
now,today,44,0.3260613236292035
pouch,sack,44,0.3122663152905771
bite,eat,44,0.35246230031594716
ripe,red,43,0.08803705134413176
branch,twig,43,0.37184180210467266
hit,kill,43,0.25696710219076896
shut,cover,43,0.1597624783000648
claw,paw,43,0.2475776798791386
calm,silence,42,0.34112133179666876
small,narrow,42,0.26867940771089704
lie,deceit,42,0.18085557209283448
flame,fire,42,0.4069618938181928
earth,sand,42,0.2691750593266526
speak,speech,42,0.24306584228876624
how,why,42,0.3943064310929611
pour,cast,42,0.006172681110988853
tomorrow,morning,42,0.4422505552657119
lake,sea,41,0.45884030050979197
mountain,stone,41,0.18903081727118717
dirty,garbage,41,0.24573838980927695
chicken,bird,41,0.34261525039557644
pregnant,womb,41,0.272280988846267
grandmother,grandchild,41,0.42307457601456305
which,who,41,0.013484749196301715
fall,tumble,41,0.2543166709398343
afterwards,then,41,0.2801417869440423
that,there,41,0.2883494070983968
dirty,dirt,40,0.33212510538471557
love,want,40,0.2232227963386633
