concepts,colexifications
LIFE,FALL,GROW,TIME,AGE,SEE,SOUL,MIND,WHAT,CUSTOM,BRAIN,SWELLING,MEDICINE,TIRED,RAW,DWELL,LEFT,HAIR,HEART,FAT,SPIRIT,BREATH,HOOF,TUMBLE,BREATHE,WAIT,SNAPP,TRUTH,DISEASE,SMOKE,THOUGHT,DEAR,POWER,WEALTH,SIZE,HAPPINESS
AGE,TIDE,MOVE,SWIM,ARRIVE,FIND,NORTH,MEASURE,CIRCLE,PAIR,TIME,YEAR,OPOSSUM,SUMMER,OLD,SEW,SHEEP,SEASON,BIRD,I,SOUND,HARD,PERSON,FIGHT,STRIKE,BATTLE,DAY,SOUR,WEATHER,WORLD,WINTER,HEAVEN,SKY,DOUBT,THINK,REMEMBER,BE,YOUNG,HUNDRED,WET,RAW,FACE,FORGET,FLUTE,OAR,CAT,WOUND,HEAD,TOOTH,LIFE,DISEASE,TOWN,OLD,TEAR,HITHER,GRANDFATHER,SAND,SPRINGTIME,SUMMIT,SPRING,WIFE,GRANDMOTHER,STRAIN,BLOOD,ANSWER,DIFFICULT,SIX,BOWL,SPEAK,SONG,TRANSIT,BEFORE,BITE,SCRATCH,GNAW,GINGER,CHOKE,TWO,WRING,LAKE,OLD,STEAL,DUNG,FAECES,BITTER,TWINS,LOOM
PROUD,TWIST,GROW,BIG,TALL,SHORT,WIDE,FLAT,HAPPY,LOVE,CRY,INSOLENT,BOAST,FAR,BAD,BEAUTIFUL,NOSE,SCALE,DANDRUFF,CLEVER,WISE,PRAISE,GLASS,GROAN,THREAD,CHEST,COLD,POWER
LIFT,BURN,MOVE,TURN,RISE,COME,HOOF,TIRED,DAY,GRAIN,HOLD,CARRY,GET,FILL,COW,FORGET,BESIDE,TAKE,BUILD,HEAVEN,SKY,CALL,KEEP,BEGIN,EXPLAIN,STRETCH,RICE,LEAF,STAND,MOW,CLIMB,ANSWER,GIVE,DO,PUT,THROW,TOP,SING,WET,WATER,PREGNANT,TIE,STRIKE,BOAST,PROMISE,KNOT,BRAID,SEPARATE,SEE,SHAKE,BIRD,PRICE,NINE,WEIGH,PLANT,PUSH,BORROW,SHIRT,HOLD,WASH,SON,BEAN,ONE,RAISE,BARK,TWO,ESCAPE,ENDURE,HOW,FOOT,LEAD,READ,EMBRACE,PULL,TEAR,SWEET,UNCOVER,THIN,BELLY,SIDE,GELD,CHEW,IRON,SPLIT,MEAT,DRAGON,OLD,MARRY,STEEP,PLOUGH,WEAVE,PIG,ROUND,BUY,WOLF,DENSE,KILL,FAECES,THORN,COLD,SELL,SEIZE,ENTER,UP,BOIL,SUCK,WRAP,HEAVY,BEGIN
BAKE,BURN,BLOW,DESTROY,DEBT,SHARE,SHUT,GROW,MANY,ALWAYS,SHOW,SHINE,TEACH,MALE,HUSBAND,FIGHT,SPEAR,CURE,ROAST,OVEN,COOK,BOIL,FIVE,STOVE,BOWL,SAUCER,PLATE,DISH,MAN,BEAN,FIREFLY,BUILD,DO,MOLD,STRIKE,BURNING,LIGHT,ROUGH,BRUSH,HAY,PEEL,BRAID,RELIGION,OIL,FAT,THREATEN,SLIP,SHOE,BOOT,ANIMAL,ALLOW,HEAVY,FRY,RAIN,PASS,HANG,STRIKE,BOIL,WASH,WASH,LEATHER,FEAR,RIPEN,MELT,THAW,SPOIL,PRODUCE,MAKE,DO,GROUND,ELEVATION,HILL,SEW,LEAD,KNEAD
FURROW,PLAIN,WHIRLPOOL,GO,ROAD,SIDE,LINE,HOLE,PART,SHAME,DANGER,BOUNDARY,MARRIAGE,BATTLE,SPEAR,WOUND,FAT,ALCOHOL,TROUGH,FIELD,DITCH,PLOUGH,GRAIN,PLOUGH,KNIFE,SHEEP,COLD,EVENING,FOOTPRINT,BEFORE,RAFT,COLD,PATH,MILK,RIVER,SPADE,PADDLE,OAR,SEA,NIGHT,FIVE,STREAM,ANVIL,BORE,WRITE
LAST,MOVE,FALL,BLOW,WALK,GO,COME,LEAVE,FOLLOW,CARRY,BRING,RIDE,HAVE,SEIZE,HOLD,KEEP,MISPLACE,EXPENSIVE,STAND,REMAIN,LONG,SIMILAR,ALL,ENOUGH,FIRST,LAST,NEW,CEASE,ALWAYS,SEASON,HARD,GRIEF,DARE,BRAVE,SEEM,HINDER,FIGHT,BATTLE,DEFEND,REST,DEAF,DWELL,TIE,STRETCH,EAT,BE,FINISH,CATCH,DRIVE,BE,CENTER,CART,PRESERVE,POINTED,EDGE,ONLY,BACK,THIN,NOT,END,BEHIND,LATE,AFTER,BUTTOCKS,WHO,OLD,FINGERNAIL,ROTTEN,SEED,SOUL,SECOND,CAST,TROUGH,FAST,SKIRT,GRASS-SKIRT,SAND,FOOTPRINT,THEN,PEAK,POINT,DO,JAW,BOUNDARY,CHEEK,CUT,GUMS,READY,SHIELD,WHEEL,MULE
POWER,FEW,CLOCK,PINCH,PROUD,PRESS,THORN,BRIDGE,STRENGTH,MUST,FOUR,ARROW,STRONG,UNTIL,EVIL,KING,LIFE,VIOLENCE,POWERFUL
DANCE,MOUNTAIN,TURN,ROLL,FLOAT,SAIL,BLOW,KNEEL,JUMP,KICK,WALK,RUN,GO,LEAVE,ARRIVE,CARRY,SEND,PUSH,CANOE,SEIZE,GET,GIVE,DESTROY,POOR,BUY,SELL,SIT,STAND,SEPARATE,DIVIDE,BIG,CHANGE,MANY,ENOUGH,FULL,CEASE,HEAR,PINCH,DRY,PLAY,LOVE,DARE,WANT,BAD,IMITATE,TRY,AND,SING,SHOUT,SPEAK,STUTTER,SAY,LANGUAGE,NAME,BOAST,RULE,COMMAND,PERSON,I,HUNT,SHOOT,THIEF,STABLE,CATTLE,LOUSE,HORN,BLINK,LIVER,COUGH,PISS,CORPSE,ROTTEN,SUCK,KNEAD,GRIND,CLOTH,WEAVE,SEW,CULTIVATE,DO,RUB,STRETCH,PULL,POUR,SWEEP,CARVE,THUNDER,FIRE,CROW,SWALLOW,FISH,WING,TREE,BODY,EAR,TOOTH,FATHER,MOTHER,BRIDGE,CLOTHES,SALT,SPOON,ANIMAL,ROPE,KNOW,SHARK,CRAWL,WASP,RAINBOW,ORDER,WIPE,CUT,RAISE,PATH,CLOUDY,RESEMBLE,STRAIN,COOK,SACRIFICE,DIMINISH,FAT,DRINK,LIE,SQUEEZE,DIE,CRUSH,TRAVERSE,RIPEN,DRAW,ABUSE,DONATE,ROAST,FAN,SCATTER,BEND,KNOCK,SHARPEN,FORGE,TUMBLE,CHIEFTAIN,POUND,SHIVER,STEAL,SPINE,DO,CRAWL,GROAN,MOLD,GARBAGE,BRANCH,SWELL,DIRT,EXCRETA,SOOT,BREAK,CHEW,SONG,MAN,TURN,PLANT,EAT,NO,MUSIC,FRIEND,TENT
MUCH,BIG,LONG,ENOUGH,LADDER,FAT,HUNDRED,VERY,PATH
