concept 1,concept 2,language weight,similarity
son,nephew,13,0.5202873055045723
cry,shriek,5,0.5196593326911428
ask,pray,2,0.5195000497860104
ask,pray,21,0.5195000497860104
river,stream,32,0.518680357495254
vagina,clitoris,3,0.5175974936184958
silver,coin,18,0.5170506087548304
laugh,laughter,9,0.5164977695356231
ancestors,descendants,5,0.5163796582223861
know,think,3,0.5146574389211223
know,think,3,0.5146574389211223
know,think,6,0.5146574389211223
cousin,brother,29,0.5144782229733723
dinner,evening,3,0.5143631237295887
nape,neck,81,0.5132961029528558
daughter,nephew,5,0.5116184146425878
lift,raise,2,0.5108680480980715
kettle,pot,45,0.5102801362905544
spear,sword,7,0.5102753668375762
you,your,58,0.5093224222622886
you,your,2,0.5093224222622886
believe,think,4,0.5091810623735301
believe,think,26,0.5091810623735301
morning,forenoon,5,0.5090071702376912
young,girl,2,0.5089807081115697
yesterday,morning,2,0.5083721254375153
grief,anger,3,0.5082221368324318
meal,dinner,23,0.5080974553807187
flower,bloom,3,0.508027625169122
grandmother,grandfather,120,0.507383030584085
cloak,blanket,5,0.5060245031747314
mango,cauliflower,5,0.5059887622212006
carpenter,blacksmith,2,0.5057405150423937
tailor,shoemaker,2,0.505386457789839
grain,barley,11,0.5051732850347178
i,yes,3,0.5049433624803655
yellow,green,30,0.5047320581193843
laugh,smile,59,0.5046198318175548
cloud,fog,179,0.5044247515605467
tree,oak,2,0.5043136368504225
elbow,arm,6,0.5042548475649059
kidney,bladder,2,0.5041987129258985
walk,ride,6,0.5036650522773902
fish,meat,20,0.5033052194987268
bowl,dish,49,0.5030512047685649
baby,boy,19,0.5014602019292871
dark,black,95,0.5012513337761314
grandson,grandfather,7,0.5007747258425823
wheat,rye,3,0.5005287389809205
yellow,black,2,0.5000092696613156
dust,dirt,2,0.4997953020484269
elbow,ankle,2,0.49947891886635676
thunder,roar,3,0.4987696930549591
wheat,flour,2,0.49816836975041906
dog,cat,5,0.49804729163086564
wrist,arm,10,0.4979338447911499
say,do,3,0.4973893957504624
nephew,cousin,9,0.4971070055357713
cloak,coat,14,0.49674209671837694
hut,tent,11,0.4966400743961359
clothes,dress,26,0.49612121257779895
wide,broad,6,0.49593259841275766
load,weight,14,0.4950587128131362
tiger,leopard,11,0.4936618385487161
morning,day,2,0.4936576500956273
girl,baby,7,0.49228723001834224
blue,purple,2,0.490941970724804
pupil,teacher,6,0.49052568671794494
beam,rafter,58,0.4897689585916612
arrow,bullet,2,0.4895371684068384
burning,burn,2,0.4890571398199583
burn,burning,98,0.4890571398199583
sister,friend,5,0.48742835361576936
bowl,pot,9,0.4873624371118044
understand,explain,3,0.4867528528315555
meal,soup,2,0.4866097176926736
thigh,knee,2,0.4857114890043082
shoulder,neck,2,0.485181502215358
