euclidean distance,concept1,concept2
3.8993489742279053,one,this
3.9018447399139404,they,it
3.9037117958068848,want,ask
3.9055700302124023,be,there
3.906341075897217,if,one
3.907327175140381,not,without
3.908479928970337,seem,think
3.908479928970337,seem,think
3.914921998977661,again,after
3.919670343399048,red,purple
3.921032190322876,take,need
3.921509027481079,father-in-law,mother-in-law
3.921509027481079,father-in-law,mother-in-law
3.921509027481079,father-in-law,mother-in-law
3.921509027481079,father-in-law,mother-in-law
3.921509027481079,mother-in-law,father-in-law
3.922846555709839,uncle,cousin
3.926311731338501,last,after
3.9286930561065674,get,find
3.9289886951446533,grandmother,grandfather
3.9315896034240723,time,day
3.9315896034240723,time,day
3.933467388153076,hither,thither
3.9373815059661865,know,admit
3.939262628555298,answer,ask
3.939262628555298,ask,answer
3.946798086166382,yellow,blue
3.947180986404419,see,think
3.947180986404419,see,think
3.949596881866455,one,other
3.951394557952881,no,not
3.9529197216033936,understand,learn
3.9541444778442383,if,where
3.961547613143921,give,know
3.970759868621826,what,not
3.974400758743286,get,see
3.974830389022827,few,two
3.97898530960083,because,how
3.979368209838867,be,become
3.9807116985321045,winter,summer
3.9895083904266357,how,when
3.994476556777954,here,there
3.996467351913452,girl,boy
4.001927375793457,this,that
4.00981330871582,believe,hope
4.00981330871582,hope,believe
4.010345458984375,buy,sell
4.0110087394714355,only,always
4.0127272605896,find,see
4.016670227050781,aunt,mother-in-law
4.016670227050781,aunt,mother-in-law
4.019397735595703,say,not
4.0272216796875,do,make
4.029280185699463,my,me
4.0321245193481445,far,that
4.0327677726745605,breath,breathe
4.033651828765869,know,one
4.034444332122803,mind,reason
4.036221027374268,granddaughter,daughter-in-law
4.036221027374268,granddaughter,daughter-in-law
4.041711330413818,bring,want
4.046964168548584,go,leave
4.0477986335754395,some,what
4.057032108306885,explain,say
4.057864189147949,only,alone
4.058421611785889,find,know
4.058631896972656,they,their
4.060571193695068,more,enough
4.061704635620117,give,if
4.064379692077637,only,hardly
4.064862251281738,why,one
4.070705890655518,we,be
4.078072547912598,believe,remember
4.079470157623291,now,here
4.0844550132751465,say,do
4.0871901512146,want,choose
4.090826034545898,onion,garlic
4.093001842498779,explain,answer
4.093375205993652,stepfather,stepmother
4.093860149383545,aunt,mother
4.098827838897705,move,push
4.098827838897705,push,move
4.100612640380859,understand,recognize
4.104288101196289,hear,know
4.104555606842041,behind,up
4.106128692626953,get,try
4.106471538543701,grandson,son-in-law
4.106471538543701,grandson,son-in-law
4.108760356903076,come,know
4.112758159637451,granddaughter,nephew
4.1136980056762695,now,because
4.124664306640625,there,other
4.126240253448486,if,how
4.132538795471191,how,where
4.13479471206665,our,we
4.13479471206665,we,our
4.13479471206665,we,our
4.1401753425598145,they,you
4.144498825073242,this,there
4.14961051940918,granddaughter,grandchild
4.152888298034668,our,their
4.153826713562012,he,she
4.154052734375,immediately,soon
4.156418323516846,what,this
4.157151222229004,father-in-law,grandfather
4.157151222229004,grandfather,father-in-law
4.157151222229004,grandfather,father-in-law
4.1578898429870605,you,not
4.162363052368164,many,more
4.165665626525879,all,we
4.169238567352295,feel,know
4.169238567352295,know,feel
4.173017501831055,hear,say
4.17338752746582,we,not
4.177999496459961,with,same
4.17975378036499,daughter-in-law,father-in-law
