plant,tree,Antonym
plate,bowl,Antonym
plate,cup,Antonym
poison,medicine,Antonym
pull,push,Antonym
pull,push,Antonym
pupil,teacher,Antonym
queen,king,Antonym
rabbit,turtle,Antonym
rain,sun,Antonym
read,speak,Antonym
remain,leave,Antonym
ride,drive,Antonym
ride,walk,Antonym
right,left,Antonym
right,left,Antonym
right,left,Antonym
right,left,Antonym
right,left,Antonym
river,creek,Antonym
river,lake,Antonym
river,sea,Antonym
river,stream,Antonym
rub,scratch,Antonym
run,walk,Antonym
sand,water,Antonym
saucer,cup,Antonym
sea,lake,Antonym
sea,ocean,Antonym
sell,buy,Antonym
sell,buy,Antonym
sell,buy,Antonym
she,he,Antonym
sheep,goat,Antonym
sheep,lamb,Antonym
sheep,ram,Antonym
show,tell,Antonym
side,back,Antonym
side,top,Antonym
silk,cotton,Antonym
silver,gold,Antonym
sister,brother,Antonym
sister,brother,Antonym
sit,stand,Antonym
smell,hear,Antonym
smell,taste,Antonym
smoke,fire,Antonym
sneeze,cough,Antonym
sneeze,yawn,Antonym
son,daughter,Antonym
son,daughter,Antonym
son,daughter,Antonym
song,dance,Antonym
soul,body,Antonym
sour,sweet,Antonym
south,north,Antonym
space,earth,Antonym
space,ground,Antonym
split,join,Antonym
spoon,fork,Antonym
stand,sit,Antonym
steal,donate,Antonym
stepdaughter,stepson,Antonym
stepson,stepdaughter,Antonym
stick,twig,Antonym
stretch,squeeze,Antonym
summer,winter,Antonym
summer,winter,Antonym
sun,moon,Antonym
sweet,sour,Antonym
sweet,salty,Antonym
sweet,sour,Antonym
swim,walk,Antonym
table,chair,Antonym
take,give,Antonym
take,bring,Antonym
take,give,Antonym
taste,smell,Antonym
tell,ask,Antonym
think,feel,Antonym
thou,you,Antonym
three,third,Antonym
thunder,lightning,Antonym
time,month,Antonym
time,year,Antonym
toad,frog,Antonym
toe,finger,Antonym
tomorrow,yesterday,Antonym
tomorrow,yesterday,Antonym
touch,feel,Antonym
turn,go,Antonym
turn,twist,Antonym
twist,bend,Antonym
uncle,aunt,Antonym
uncle,aunt,Antonym
victory,defeat,Antonym
walk,ride,Antonym
walk,rub,Antonym
walk,run,Antonym
walk,sit,Antonym
walk,run,Antonym
want,need,Antonym
wash,rinse,Antonym
white,black,Antonym
white,black,Antonym
why,because,Antonym
why,how,Antonym
wife,husband,Antonym
wife,husband,Antonym
wind,air,Antonym
wind,fire,Antonym
window,door,Antonym
wine,beer,Antonym
winter,summer,Antonym
woman,person,Antonym
wood,fire,Antonym
wool,cotton,Antonym
work,do,Antonym
yellow,red,Antonym
yes,no,Antonym
yes,no,Antonym
yesterday,tomorrow,Antonym
air,sky,AtLocation
alcohol,beer,AtLocation
alcohol,wine,AtLocation
arm,chair,AtLocation
arm,house,AtLocation
battle,war,AtLocation
bay,lake,AtLocation
beam,bridge,AtLocation
bird,tree,AtLocation
bone,fish,AtLocation
boundary,country,AtLocation
bowl,table,AtLocation
brain,skull,AtLocation
chest,body,AtLocation
child,family,AtLocation
cloth,clothes,AtLocation
cloud,sky,AtLocation
corpse,grave,AtLocation
country,forest,AtLocation
country,world,AtLocation
cow,cattle,AtLocation
dish,table,AtLocation
dust,floor,AtLocation
earring,ear,AtLocation
earth,ground,AtLocation
earth,space,AtLocation
eat,dinner,AtLocation
egg,chicken,AtLocation
enemy,war,AtLocation
eye,face,AtLocation
family,house,AtLocation
feather,bird,AtLocation
field,country,AtLocation
finger,hand,AtLocation
finger,ring,AtLocation
fingernail,finger,AtLocation
fire,fireplace,AtLocation
fish,river,AtLocation
food,stomach,AtLocation
foot,shoe,AtLocation
forest,country,AtLocation
fruit,tree,AtLocation
garden,fence,AtLocation
garden,ground,AtLocation
garden,yard,AtLocation
glass,window,AtLocation
god,heaven,AtLocation
grape,garden,AtLocation
grape,wine,AtLocation
grass,field,AtLocation
hair,head,AtLocation
hair,skin,AtLocation
hair,soup,AtLocation
heart,chest,AtLocation
honey,beehive,AtLocation
house,village,AtLocation
ice,glass,AtLocation
land,country,AtLocation
land,earth,AtLocation
leaf,tree,AtLocation
letter,mail,AtLocation
lip,mouth,AtLocation
market,town,AtLocation
meal,dinner,AtLocation
meat,animal,AtLocation
meat,food,AtLocation
mouth,nose,AtLocation
muscle,leg,AtLocation
neck,shoulder,AtLocation
news,newspaper,AtLocation
nose,face,AtLocation
ocean,lake,AtLocation
oven,stove,AtLocation
people,town,AtLocation
place,area,AtLocation
plant,pot,AtLocation
plate,table,AtLocation
president,government,AtLocation
rain,weather,AtLocation
rapids,waterfall,AtLocation
ring,finger,AtLocation
river,valley,AtLocation
river,waterfall,AtLocation
rock,mountain,AtLocation
root,tree,AtLocation
saliva,mouth,AtLocation
sand,earth,AtLocation
sea,ocean,AtLocation
shoe,foot,AtLocation
sibling,family,AtLocation
skin,body,AtLocation
sky,air,AtLocation
sky,day,AtLocation
soul,body,AtLocation
spoon,bowl,AtLocation
state,country,AtLocation
stick,tree,AtLocation
thatch,roof,AtLocation
toe,foot,AtLocation
tongue,mouth,AtLocation
tooth,mouth,AtLocation
town,country,AtLocation
town,state,AtLocation
tree,town,AtLocation
turtle,water,AtLocation
village,world,AtLocation
voice,mouth,AtLocation
voice,song,AtLocation
wall,room,AtLocation
water,drink,AtLocation
water,drip,AtLocation
water,juice,AtLocation
water,lake,AtLocation
water,rain,AtLocation
water,river,AtLocation
water,soup,AtLocation
water,spit,AtLocation
water,stream,AtLocation
wet,water,AtLocation
wheat,field,AtLocation
wind,field,AtLocation
wood,fire,AtLocation
wood,tree,AtLocation
wool,sheep,AtLocation
word,book,AtLocation
worker,work,AtLocation
yard,house,AtLocation
yard,outside,AtLocation
yolk,egg,AtLocation
bee,fly,CapableOf
chimney,smoke,CapableOf
dog,bite,CapableOf
door,open,CapableOf
ear,hear,CapableOf
fire,burn,CapableOf
fire,heat,CapableOf
mosquito,fly,CapableOf
oven,bake,CapableOf
people,sing,CapableOf
person,shave,CapableOf
plant,grow,CapableOf
rope,tie,CapableOf
