water,river,AtLocation
water,stream,AtLocation
wet,water,AtLocation
wool,sheep,AtLocation
word,book,AtLocation
yard,house,AtLocation
yard,outside,AtLocation
yolk,egg,AtLocation
bee,fly,CapableOf
chimney,smoke,CapableOf
fire,burn,CapableOf
fire,heat,CapableOf
person,shave,CapableOf
shit,faeces,CapableOf
thief,steal,CapableOf
time,age,CapableOf
boil,boil,Causes
break,break,Causes
break,break,Causes
burn,burn,Causes
change,change,Causes
end,end,Causes
famine,hunger,Causes
fire,heat,Causes
fire,smoke,Causes
flow,run,Causes
land,land,Causes
move,move,Causes
open,open,Causes
open,open,Causes
sun,light,Causes
work,work,Causes
food,eat,CausesDesire
love,kiss,CausesDesire
mind,thought,CreatedBy
penis,vagina,CreatedBy
earth,world,DefinedAs
answer,swear,DerivedFrom
anthill,hill,DerivedFrom
backward,back,DerivedFrom
beeswax,bee,DerivedFrom
burning,burn,DerivedFrom
darkness,dark,DerivedFrom
darkness,dark,DerivedFrom
darkness,dark,DerivedFrom
dirty,dirt,DerivedFrom
dirty,dirt,DerivedFrom
fingernail,nail,DerivedFrom
fingernail,nail,DerivedFrom
firewood,wood,DerivedFrom
grandfather,father,DerivedFrom
grandmother,mother,DerivedFrom
grandmother,mother,DerivedFrom
kneel,knee,DerivedFrom
mainland,land,DerivedFrom
mainland,land,DerivedFrom
midday,day,DerivedFrom
nostril,nose,DerivedFrom
only,one,DerivedFrom
pitchfork,fork,DerivedFrom
prisoner,prison,DerivedFrom
prisoner,prison,DerivedFrom
salty,salt,DerivedFrom
stepfather,father,DerivedFrom
stepfather,father,DerivedFrom
stepmother,mother,DerivedFrom
stepmother,mother,DerivedFrom
today,day,DerivedFrom
which,who,DerivedFrom
widower,widow,DerivedFrom
cat,eat,Desires
dog,eat,Desires
person,sweet,Desires
afternoon,evening,DistinctFrom
age,young,DistinctFrom
always,never,DistinctFrom
and,if,DistinctFrom
and,or,DistinctFrom
attack,defend,DistinctFrom
aunt,uncle,DistinctFrom
before,after,DistinctFrom
behind,before,DistinctFrom
bird,animal,DistinctFrom
blood,water,DistinctFrom
blue,green,DistinctFrom
blue,purple,DistinctFrom
boat,raft,DistinctFrom
boat,ship,DistinctFrom
branch,twig,DistinctFrom
bring,take,DistinctFrom
buy,sell,DistinctFrom
buy,steal,DistinctFrom
car,bus,DistinctFrom
chicken,rooster,DistinctFrom
circle,ball,DistinctFrom
country,state,DistinctFrom
cow,bull,DistinctFrom
day,night,DistinctFrom
defeat,victory,DistinctFrom
dog,cat,DistinctFrom
door,window,DistinctFrom
east,south,DistinctFrom
east,west,DistinctFrom
east,south,DistinctFrom
eat,drink,DistinctFrom
edge,corner,DistinctFrom
eight,nine,DistinctFrom
eye,ear,DistinctFrom
father,mother,DistinctFrom
fever,cold,DistinctFrom
finger,thumb,DistinctFrom
fish,meat,DistinctFrom
girl,boy,DistinctFrom
girl,woman,DistinctFrom
girl,boy,DistinctFrom
girl,son,DistinctFrom
glass,cup,DistinctFrom
gold,silver,DistinctFrom
grandmother,grandfather,DistinctFrom
ground,floor,DistinctFrom
he,it,DistinctFrom
he,she,DistinctFrom
hear,listen,DistinctFrom
hear,see,DistinctFrom
hear,smell,DistinctFrom
how,what,DistinctFrom
how,where,DistinctFrom
how,why,DistinctFrom
husband,wife,DistinctFrom
i,me,DistinctFrom
if,when,DistinctFrom
iron,steel,DistinctFrom
king,queen,DistinctFrom
know,right,DistinctFrom
lake,ocean,DistinctFrom
lake,pond,DistinctFrom
lake,sea,DistinctFrom
learn,teach,DistinctFrom
leave,arrive,DistinctFrom
left,right,DistinctFrom
leg,toe,DistinctFrom
man,boy,DistinctFrom
man,boy,DistinctFrom
mind,brain,DistinctFrom
morning,day,DistinctFrom
morning,night,DistinctFrom
mountain,hill,DistinctFrom
my,our,DistinctFrom
my,their,DistinctFrom
my,your,DistinctFrom
nephew,niece,DistinctFrom
no,yes,DistinctFrom
north,south,DistinctFrom
north,south,DistinctFrom
one,two,DistinctFrom
person,animal,DistinctFrom
person,man,DistinctFrom
plant,flower,DistinctFrom
ride,drive,DistinctFrom
river,lake,DistinctFrom
river,ocean,DistinctFrom
river,stream,DistinctFrom
road,street,DistinctFrom
rub,scratch,DistinctFrom
sea,ocean,DistinctFrom
second,third,DistinctFrom
she,it,DistinctFrom
sheep,goat,DistinctFrom
sheep,lamb,DistinctFrom
side,back,DistinctFrom
side,top,DistinctFrom
sister,brother,DistinctFrom
sister,brother,DistinctFrom
sit,stand,DistinctFrom
size,weight,DistinctFrom
smell,hear,DistinctFrom
smell,taste,DistinctFrom
snow,ice,DistinctFrom
son,daughter,DistinctFrom
sour,sweet,DistinctFrom
stepfather,stepmother,DistinctFrom
stone,rock,DistinctFrom
stove,oven,DistinctFrom
sun,moon,DistinctFrom
sun,moon,DistinctFrom
table,chair,DistinctFrom
take,give,DistinctFrom
taste,hear,DistinctFrom
taste,smell,DistinctFrom
taste,touch,DistinctFrom
they,he,DistinctFrom
they,it,DistinctFrom
they,we,DistinctFrom
they,she,DistinctFrom
they,you,DistinctFrom
thunder,lightning,DistinctFrom
toe,finger,DistinctFrom
tomorrow,yesterday,DistinctFrom
walk,run,DistinctFrom
want,need,DistinctFrom
we,you,DistinctFrom
what,where,DistinctFrom
where,who,DistinctFrom
where,who,DistinctFrom
white,black,DistinctFrom
white,black,DistinctFrom
wine,beer,DistinctFrom
winter,summer,DistinctFrom
wool,cotton,DistinctFrom
yellow,blue,DistinctFrom
burn,burn,Entails
canoe,paddle,Entails
dream,sleep,Entails
eat,chew,Entails
hoe,dig,Entails
leave,die,Entails
push,move,Entails
push,press,Entails
share,separate,Entails
study,read,Entails
thunder,storm,Entails
walk,step,Entails
wash,rinse,Entails
ask,ask,EtymologicallyDerivedFrom
arrive,land,EtymologicallyRelatedTo
ask,ask,EtymologicallyRelatedTo
beeswax,bee,EtymologicallyRelatedTo
cause,because,EtymologicallyRelatedTo
death,die,EtymologicallyRelatedTo
drive,drive,EtymologicallyRelatedTo
drive,drive,EtymologicallyRelatedTo
edge,egg,EtymologicallyRelatedTo
edge,egg,EtymologicallyRelatedTo
fast,hard,EtymologicallyRelatedTo
fat,fat,EtymologicallyRelatedTo
female,woman,EtymologicallyRelatedTo
follow,full,EtymologicallyRelatedTo
frost,freeze,EtymologicallyRelatedTo
